Gene.symbol,ID,adj.P.Val,P.Value,t,B,logFC,Gene.title
MEN1,A_24_P153898,1.74E-01,8.88E-02,1.721615,-4.941537,0.5811222,menin 1
DAGLA,A_24_P115967,1.74E-01,8.88E-02,1.721579,-4.941595,0.8570965,diacylglycerol lipase alpha
FAIM2,A_24_P275428,1.74E-01,8.88E-02,1.721531,-4.941675,0.560645,Fas apoptotic inhibitory molecule 2
USP48,A_24_P393285,1.74E-01,8.88E-02,1.721522,-4.941688,0.8791065,ubiquitin specific peptidase 48
MSTO1,A_23_P630,1.74E-01,8.88E-02,1.721498,-4.941728,0.7446204,"misato 1, mitochondrial distribution and morphology regulator"
PRTG,A_23_P358513,1.74E-01,8.88E-02,1.721424,-4.941848,0.6278818,protogenin
KRT18,A_24_P924957,1.74E-01,8.89E-02,-1.721321,-4.942017,-0.4650048,keratin 18
ANKRD2,A_23_P104555,1.74E-01,8.89E-02,1.721292,-4.942065,0.6704557,ankyrin repeat domain 2
,A_24_P128098,1.74E-01,8.89E-02,1.72118,-4.942247,0.5983674,
,A_24_P925913,1.74E-01,8.89E-02,1.721128,-4.942332,0.6573092,
LOC100506317,A_32_P175785,1.74E-01,8.89E-02,1.721046,-4.942467,0.6022628,uncharacterized LOC100506317
LINC00202-1,A_24_P462853,1.74E-01,8.89E-02,1.720954,-4.942615,0.6017604,long intergenic non-protein coding RNA 202-1
,A_24_P765448,1.74E-01,8.90E-02,1.720595,-4.943202,0.5841868,
,A_24_P118336,1.74E-01,8.90E-02,1.72057,-4.943243,1.1059723,
,A_32_P61998,1.74E-01,8.90E-02,1.720384,-4.943547,0.5649191,
,A_32_P167103,1.74E-01,8.90E-02,1.72033,-4.943634,0.6076753,
HTR3D,A_24_P14974,1.74E-01,8.90E-02,1.720327,-4.943639,0.5891248,5-hydroxytryptamine receptor 3D
STK38,A_24_P63727,1.74E-01,8.91E-02,1.720169,-4.943897,0.6915941,serine/threonine kinase 38
,A_24_P693454,1.74E-01,8.91E-02,1.720141,-4.943944,0.5675467,
,A_32_P58705,1.74E-01,8.91E-02,1.719984,-4.944199,0.9420762,
AGL,A_23_P200298,1.74E-01,8.91E-02,1.719942,-4.944268,0.7294283,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
LINC00482,A_24_P323084,1.74E-01,8.91E-02,-1.719909,-4.944322,-0.7683859,long intergenic non-protein coding RNA 482
SLC43A3,A_23_P358548,1.74E-01,8.91E-02,1.719857,-4.944407,1.5265376,solute carrier family 43 member 3
SLC25A5,A_24_P182182,1.74E-01,8.91E-02,1.719778,-4.944536,0.845554,solute carrier family 25 member 5
ANK2,A_23_P133068,1.74E-01,8.91E-02,-1.719757,-4.944569,-0.8684315,"ankyrin 2, neuronal"
LOC285389,A_24_P794529,1.74E-01,8.92E-02,1.719601,-4.944824,0.7798657,uncharacterized LOC285389
NDN,A_23_P106405,1.74E-01,8.92E-02,-1.719484,-4.945015,-1.2470435,"necdin, MAGE family member"
OTX2,A_23_P48663,1.74E-01,8.92E-02,1.719433,-4.945098,0.5495971,orthodenticle homeobox 2
TEC,A_23_P213114,1.74E-01,8.92E-02,1.719356,-4.945225,0.7048201,tec protein tyrosine kinase
PTK2,A_23_P324679,1.74E-01,8.92E-02,1.719347,-4.945239,0.5428225,protein tyrosine kinase 2
LINC00919,A_32_P8611,1.74E-01,8.92E-02,1.719332,-4.945262,0.8220476,long intergenic non-protein coding RNA 919
WDR11-AS1,A_24_P484791,1.75E-01,8.93E-02,1.719017,-4.945777,0.5635091,WDR11 antisense RNA 1
,A_32_P188620,1.75E-01,8.93E-02,1.718925,-4.945927,0.6726855,
NMRK1,A_23_P32036,1.75E-01,8.93E-02,1.718915,-4.945943,0.6115156,nicotinamide riboside kinase 1
,A_24_P620241,1.75E-01,8.93E-02,1.718852,-4.946046,0.6713906,
,A_24_P286868,1.75E-01,8.93E-02,1.718754,-4.946205,0.7652411,
UTF1,A_23_P33141,1.75E-01,8.94E-02,-1.71863,-4.946407,-0.6466871,undifferentiated embryonic cell transcription factor 1
,A_24_P654951,1.75E-01,8.94E-02,1.718609,-4.946442,0.6021264,
TMEM19,A_23_P385742,1.75E-01,8.94E-02,1.718575,-4.946497,0.7365007,transmembrane protein 19
CHRNA5,A_23_P88691,1.75E-01,8.94E-02,1.718571,-4.946504,1.0590697,cholinergic receptor nicotinic alpha 5 subunit
PRR16,A_24_P20746,1.75E-01,8.94E-02,1.718527,-4.946576,0.6164505,proline rich 16
POTEE,A_24_P410017,1.75E-01,8.94E-02,1.718506,-4.94661,0.6496785,POTE ankyrin domain family member E
FGF5,A_24_P337239,1.75E-01,8.94E-02,1.718317,-4.946919,0.5803377,fibroblast growth factor 5
IRAK2,A_23_P80635,1.75E-01,8.94E-02,1.718157,-4.947179,0.6903463,interleukin 1 receptor associated kinase 2
,A_32_P63236,1.75E-01,8.94E-02,1.718139,-4.947209,0.6445516,
,A_24_P67258,1.75E-01,8.95E-02,1.718065,-4.947329,1.178532,
PHC1,A_23_P204246,1.75E-01,8.95E-02,1.718054,-4.947347,0.8316182,polyhomeotic homolog 1
NSMCE3,A_24_P943840,1.75E-01,8.95E-02,1.717998,-4.947438,0.8705323,"NSE3 homolog, SMC5-SMC6 complex component"
LST1,A_24_P94916,1.75E-01,8.95E-02,1.717935,-4.947541,0.7345326,leukocyte specific transcript 1
ACP7,A_24_P53406,1.75E-01,8.95E-02,1.717882,-4.947628,0.6016432,"acid phosphatase 7, tartrate resistant (putative)"
,A_24_P916116,1.75E-01,8.95E-02,1.717866,-4.947654,0.6196434,
PRSS58,A_23_P82567,1.75E-01,8.95E-02,1.717853,-4.947674,0.9900342,"protease, serine 58"
SLC30A8,A_23_P362798,1.75E-01,8.95E-02,1.717839,-4.947698,0.5677784,solute carrier family 30 member 8
FHOD3,A_32_P34444,1.75E-01,8.95E-02,1.717817,-4.947734,1.5423875,formin homology 2 domain containing 3
,A_32_P48086,1.75E-01,8.95E-02,1.717707,-4.947912,0.9177555,
ADD2,A_23_P421436,1.75E-01,8.95E-02,1.717672,-4.947969,0.7093185,adducin 2
IL12A,A_23_P91943,1.75E-01,8.95E-02,1.717655,-4.947997,0.9881712,interleukin 12A
HMGN2P46,A_23_P423419,1.75E-01,8.95E-02,1.717619,-4.948056,0.6440742,high mobility group nucleosomal binding domain 2 pseudogene 46
,A_24_P613108,1.75E-01,8.96E-02,1.717541,-4.948182,0.5610791,
GJA5,A_23_P371729,1.75E-01,8.96E-02,1.717455,-4.948324,0.61463,gap junction protein alpha 5
,A_32_P150786,1.75E-01,8.96E-02,1.717419,-4.948381,0.5746924,
LINC00938,A_24_P514517,1.75E-01,8.96E-02,1.717353,-4.948489,0.6212755,long intergenic non-protein coding RNA 938
,A_24_P762409,1.75E-01,8.96E-02,1.717318,-4.948546,0.6682709,
,A_24_P727501,1.75E-01,8.96E-02,1.717246,-4.948663,0.9347019,
GABBR2,A_23_P112275,1.75E-01,8.96E-02,1.71719,-4.948754,0.5992118,gamma-aminobutyric acid type B receptor subunit 2
ZNF689,A_23_P129659,1.75E-01,8.96E-02,1.717113,-4.94888,0.7376719,zinc finger protein 689
LSMEM1,A_24_P380679,1.75E-01,8.96E-02,1.7171,-4.948902,0.659074,leucine rich single-pass membrane protein 1
ZDHHC13,A_24_P272561,1.75E-01,8.97E-02,1.717006,-4.949055,0.9727837,zinc finger DHHC-type containing 13
DICER1,A_24_P22163,1.75E-01,8.97E-02,-1.716809,-4.949376,-0.5646596,"dicer 1, ribonuclease III"
UNC80,A_32_P447785,1.75E-01,8.97E-02,1.716787,-4.949412,0.6247673,"unc-80 homolog, NALCN activator"
PSEN1,A_23_P106174,1.75E-01,8.97E-02,-1.716725,-4.949513,-0.4805157,presenilin 1
S100A3,A_23_P104073,1.75E-01,8.97E-02,1.716723,-4.949516,0.8748451,S100 calcium binding protein A3
LOC102546299,A_32_P42104,1.75E-01,8.97E-02,1.716667,-4.949607,0.4102179,uncharacterized LOC102546299
TSTD2,A_24_P295330,1.75E-01,8.97E-02,1.716661,-4.949617,0.6532925,thiosulfate sulfurtransferase like domain containing 2
ZBTB45,A_23_P164623,1.75E-01,8.97E-02,1.716648,-4.949638,0.4712652,zinc finger and BTB domain containing 45
,A_24_P879722,1.75E-01,8.97E-02,1.716539,-4.949815,0.5515295,
TRAPPC3L,A_32_P25639,1.75E-01,8.97E-02,1.716494,-4.949888,0.8035892,trafficking protein particle complex 3 like
,A_24_P917971,1.75E-01,8.98E-02,1.716444,-4.94997,0.7967558,
TXNDC15,A_23_P41777,1.75E-01,8.98E-02,1.716429,-4.949994,0.6488866,thioredoxin domain containing 15
,A_24_P66249,1.75E-01,8.98E-02,1.716283,-4.950232,0.548864,
,A_32_P69653,1.75E-01,8.98E-02,1.716257,-4.950275,0.7135954,
FAM43A,A_23_P422144,1.75E-01,8.98E-02,1.716206,-4.950357,0.8106708,family with sequence similarity 43 member A
COL18A1,A_24_P57426,1.75E-01,8.98E-02,1.716094,-4.95054,0.5997613,collagen type XVIII alpha 1 chain
GSPT2,A_23_P19115,1.75E-01,8.98E-02,1.716009,-4.950678,1.4553223,G1 to S phase transition 2
C5AR2,A_23_P164943,1.75E-01,8.98E-02,1.715969,-4.950743,0.53333,complement component 5a receptor 2
LOC401320,A_32_P87809,1.75E-01,8.98E-02,-1.715953,-4.95077,-0.666806,uncharacterized LOC401320
,A_24_P876152,1.75E-01,8.99E-02,1.715922,-4.95082,0.58055,
SRPK3,A_23_P125772,1.75E-01,8.99E-02,1.71592,-4.950823,1.2738304,SRSF protein kinase 3
,A_24_P486659,1.75E-01,8.99E-02,1.715874,-4.950898,0.6111982,
,A_24_P925799,1.75E-01,8.99E-02,1.715837,-4.950958,0.8041055,
XKRY2,A_23_P34183,1.75E-01,8.99E-02,1.71583,-4.950969,0.5878349,"XK related, Y-linked 2"
PCYT1B,A_24_P941353,1.75E-01,8.99E-02,1.715829,-4.950971,0.6555882,"phosphate cytidylyltransferase 1, choline, beta"
CRISP1,A_23_P133722,1.75E-01,8.99E-02,1.715783,-4.951046,0.9435744,cysteine rich secretory protein 1
,A_32_P177829,1.75E-01,8.99E-02,1.715736,-4.951122,0.8162742,
RXFP3,A_23_P363365,1.75E-01,8.99E-02,-1.715698,-4.951184,-0.5007024,relaxin/insulin like family peptide receptor 3
,A_24_P800009,1.75E-01,8.99E-02,1.715681,-4.951213,0.5791033,
PSMB10,A_23_P140807,1.75E-01,8.99E-02,1.715665,-4.951238,0.622165,proteasome subunit beta 10
FAM35BP,A_32_P166598,1.75E-01,8.99E-02,1.715606,-4.951334,0.5177951,"family with sequence similarity 35, member A pseudogene"
CLCN3,A_23_P124476,1.75E-01,8.99E-02,1.715551,-4.951424,0.6888459,chloride voltage-gated channel 3
LOC439951,A_24_P203953,1.75E-01,8.99E-02,-1.715433,-4.951616,-0.7824792,uncharacterized LOC439951
,A_32_P146597,1.75E-01,9.00E-02,1.715358,-4.951737,0.5748303,
EPHA2,A_23_P149281,1.75E-01,9.00E-02,1.715326,-4.95179,0.7935972,EPH receptor A2
BDNF,A_32_P7316,1.75E-01,9.00E-02,1.715219,-4.951964,0.5500856,brain derived neurotrophic factor
,A_32_P149027,1.75E-01,9.00E-02,1.715198,-4.951999,0.8239603,
EMC7,A_23_P88680,1.75E-01,9.00E-02,1.715089,-4.952176,0.5612812,ER membrane protein complex subunit 7
,A_32_P215856,1.75E-01,9.00E-02,1.714938,-4.952422,1.1554611,
,A_24_P874630,1.75E-01,9.00E-02,1.714935,-4.952427,0.8135751,
PKLR,A_24_P325533,1.75E-01,9.01E-02,1.714808,-4.952633,0.7799943,"pyruvate kinase, liver and RBC"
TADA2A,A_23_P66664,1.75E-01,9.01E-02,1.714797,-4.952652,0.675797,transcriptional adaptor 2A
PDK3,A_24_P941666,1.75E-01,9.01E-02,1.714793,-4.952658,0.746902,pyruvate dehydrogenase kinase 3
NUCB1,A_23_P78771,1.75E-01,9.01E-02,1.714774,-4.952688,0.605476,nucleobindin 1
MYCNUT,A_24_P486173,1.75E-01,9.01E-02,1.71465,-4.95289,0.5842466,MYCN upstream transcript (non-protein coding)
LGALS7B,A_23_P108062,1.75E-01,9.01E-02,1.71461,-4.952955,0.9434649,galectin 7B
LOC100131929,A_32_P198990,1.75E-01,9.01E-02,-1.714578,-4.953008,-0.7250871,uncharacterized LOC100131929
GLP2R,A_23_P141306,1.75E-01,9.01E-02,1.71457,-4.95302,0.5706428,glucagon like peptide 2 receptor
DNAJC25,A_23_P397019,1.75E-01,9.01E-02,1.714458,-4.953202,0.7151529,DnaJ heat shock protein family (Hsp40) member C25
RBM43,A_32_P496952,1.75E-01,9.01E-02,1.714356,-4.953369,0.7635261,RNA binding motif protein 43
KIAA2026,A_23_P157758,1.75E-01,9.01E-02,1.714354,-4.953371,0.5762466,KIAA2026
TLR4,A_23_P60306,1.75E-01,9.01E-02,1.714332,-4.953407,1.3666412,toll like receptor 4
FGF1,A_24_P251969,1.75E-01,9.02E-02,1.714293,-4.95347,0.5700696,fibroblast growth factor 1
,A_32_P217614,1.75E-01,9.02E-02,1.714281,-4.953491,0.5860262,
KIAA0232,A_32_P209641,1.75E-01,9.02E-02,1.714195,-4.95363,0.7973403,KIAA0232
JRK,A_24_P230156,1.75E-01,9.02E-02,1.714188,-4.953641,0.5234114,Jrk helix-turn-helix protein
FSCB,A_23_P140342,1.76E-01,9.02E-02,1.71411,-4.953769,0.7084425,fibrous sheath CABYR binding protein
THOC5,A_24_P228700,1.76E-01,9.02E-02,1.714081,-4.953815,0.7906671,THO complex 5
ARL17A,A_23_P4153,1.76E-01,9.02E-02,1.714067,-4.953838,0.4861906,ADP ribosylation factor like GTPase 17A
HNF4G,A_24_P852601,1.76E-01,9.02E-02,1.714009,-4.953933,1.0001923,hepatocyte nuclear factor 4 gamma
ADAL,A_23_P14845,1.76E-01,9.02E-02,1.713996,-4.953953,0.8112221,adenosine deaminase like
ANKRD26,A_24_P136438,1.76E-01,9.02E-02,1.71394,-4.954045,0.7742543,ankyrin repeat domain 26
DRC3,A_24_P270971,1.76E-01,9.02E-02,1.713905,-4.954102,0.9174764,dynein regulatory complex subunit 3
PIH1D3,A_32_P211418,1.76E-01,9.02E-02,1.713844,-4.954202,0.595481,PIH1 domain containing 3
MS4A7,A_23_P203351,1.76E-01,9.02E-02,1.713824,-4.954234,0.9056043,membrane spanning 4-domains A7
,A_32_P36582,1.76E-01,9.02E-02,1.713803,-4.954268,0.6420537,
LOC389332,A_24_P289665,1.76E-01,9.02E-02,-1.713785,-4.954298,-1.0521556,uncharacterized LOC389332
MKKS,A_23_P79962,1.76E-01,9.03E-02,1.713677,-4.954473,0.725255,McKusick-Kaufman syndrome
LOC441052,A_32_P184168,1.76E-01,9.03E-02,1.713595,-4.954606,0.6640519,uncharacterized LOC441052
WSB2,A_23_P259272,1.76E-01,9.03E-02,1.713529,-4.954714,0.7069176,WD repeat and SOCS box containing 2
,A_24_P912691,1.76E-01,9.03E-02,1.713528,-4.954716,0.6612622,
,A_32_P91273,1.76E-01,9.03E-02,1.713511,-4.954743,0.6384794,
CREBRF,A_23_P404606,1.76E-01,9.03E-02,1.713468,-4.954812,0.7760278,CREB3 regulatory factor
PLCXD2,A_23_P44533,1.76E-01,9.03E-02,-1.713459,-4.954827,-0.4670525,phosphatidylinositol specific phospholipase C X domain containing 2
NDUFB10,A_23_P118105,1.76E-01,9.03E-02,1.713446,-4.954848,0.630882,NADH:ubiquinone oxidoreductase subunit B10
,A_32_P366349,1.76E-01,9.03E-02,1.713428,-4.954878,0.7206324,
ULBP1,A_23_P156873,1.76E-01,9.03E-02,1.713415,-4.954899,0.6346063,UL16 binding protein 1
,A_24_P170927,1.76E-01,9.03E-02,-1.713411,-4.954905,-0.5955817,
,A_32_P149591,1.76E-01,9.03E-02,1.713315,-4.955061,0.6215281,
,A_24_P273890,1.76E-01,9.03E-02,1.713228,-4.955203,0.6991022,
,A_24_P936947,1.76E-01,9.04E-02,1.713194,-4.955259,0.6168054,
TTC39A,A_24_P299210,1.76E-01,9.04E-02,-1.713032,-4.955521,-0.654623,tetratricopeptide repeat domain 39A
,A_24_P520241,1.76E-01,9.04E-02,1.713021,-4.955539,0.4307175,
,A_24_P608411,1.76E-01,9.04E-02,1.713007,-4.955562,0.5249068,
,A_24_P928333,1.76E-01,9.04E-02,1.712862,-4.955797,0.5703457,
TP53INP1,A_23_P168882,1.76E-01,9.04E-02,1.712793,-4.95591,0.8117799,tumor protein p53 inducible nuclear protein 1
,A_24_P912041,1.76E-01,9.04E-02,1.712729,-4.956014,0.7208296,
ZSCAN4,A_23_P430090,1.76E-01,9.04E-02,1.712703,-4.956056,0.8299152,zinc finger and SCAN domain containing 4
CALHM3,A_24_P263297,1.76E-01,9.04E-02,1.712694,-4.956071,0.9201259,calcium homeostasis modulator 3
MAP3K2,A_23_P313645,1.76E-01,9.05E-02,1.71266,-4.956127,0.5456406,mitogen-activated protein kinase kinase kinase 2
,A_32_P150541,1.76E-01,9.05E-02,1.712616,-4.956197,0.485071,
,A_32_P93841,1.76E-01,9.05E-02,1.712534,-4.956331,0.7836386,
,A_32_P216041,1.76E-01,9.05E-02,1.712419,-4.956518,1.0287077,
PLGRKT,A_23_P255869,1.76E-01,9.05E-02,1.712321,-4.956678,0.7766413,plasminogen receptor with a C-terminal lysine
NKX6-2,A_23_P86587,1.76E-01,9.05E-02,1.712312,-4.956691,1.1358337,NK6 homeobox 2
SIX4,A_23_P326885,1.76E-01,9.05E-02,1.712281,-4.956741,0.6134323,SIX homeobox 4
CHD2,A_24_P184844,1.76E-01,9.05E-02,1.712248,-4.956796,0.7532962,chromodomain helicase DNA binding protein 2
,A_32_P20492,1.76E-01,9.05E-02,1.712161,-4.956937,0.5072242,
,A_23_P5512,1.76E-01,9.05E-02,1.712144,-4.956965,0.5607837,
SGCA,A_23_P66637,1.76E-01,9.06E-02,-1.712099,-4.957037,-0.6644937,sarcoglycan alpha
SERPINB11,A_23_P130411,1.76E-01,9.06E-02,1.712098,-4.95704,0.636009,serpin family B member 11 (gene/pseudogene)
BTN3A2,A_23_P391264,1.76E-01,9.06E-02,1.712033,-4.957145,0.712584,butyrophilin subfamily 3 member A2
FOXN3-AS2,A_23_P106236,1.76E-01,9.06E-02,1.711947,-4.957285,0.6061269,FOXN3 antisense RNA 2
SLC6A1,A_24_P268685,1.76E-01,9.06E-02,1.711921,-4.957327,0.5688576,solute carrier family 6 member 1
SMIM7,A_24_P254177,1.76E-01,9.06E-02,1.711877,-4.957399,0.5831959,small integral membrane protein 7
CRYBB2,A_23_P425066,1.76E-01,9.06E-02,1.711834,-4.957468,0.8021247,crystallin beta B2
,A_32_P201976,1.76E-01,9.06E-02,1.711744,-4.957614,0.6412806,
UGT2B11,A_23_P212968,1.76E-01,9.06E-02,-1.711619,-4.957818,-1.3356623,UDP glucuronosyltransferase family 2 member B11
ORAI2,A_24_P337867,1.76E-01,9.06E-02,1.711611,-4.957831,0.6089741,ORAI calcium release-activated calcium modulator 2
MCF2L-AS1,A_23_P44088,1.76E-01,9.07E-02,1.711554,-4.957923,0.83934,MCF2L antisense RNA 1
NCAM1,A_23_P1740,1.76E-01,9.07E-02,1.711453,-4.958086,0.6046903,neural cell adhesion molecule 1
CASKIN2,A_24_P48187,1.76E-01,9.07E-02,1.711327,-4.958291,0.5458858,CASK interacting protein 2
,A_24_P770746,1.76E-01,9.07E-02,1.711229,-4.958451,0.5563296,
SYT10,A_23_P13866,1.76E-01,9.07E-02,1.711165,-4.958555,0.7300511,synaptotagmin 10
CCNE1,A_23_P209200,1.76E-01,9.07E-02,1.7111,-4.95866,0.7282982,cyclin E1
,A_32_P45615,1.76E-01,9.08E-02,1.711037,-4.958763,0.8026222,
,A_24_P784816,1.76E-01,9.08E-02,1.710927,-4.958942,0.6205088,
USH2A,A_23_P86301,1.76E-01,9.08E-02,1.710851,-4.959065,0.5499422,usherin
PDGFC,A_24_P163168,1.76E-01,9.08E-02,1.71081,-4.959132,0.7589775,platelet derived growth factor C
IRF4,A_23_P214360,1.76E-01,9.08E-02,-1.710802,-4.959145,-0.9312468,interferon regulatory factor 4
CCDC181,A_24_P222397,1.76E-01,9.08E-02,-1.71078,-4.95918,-0.6030273,coiled-coil domain containing 181
RASGRF1,A_23_P3371,1.76E-01,9.08E-02,1.710717,-4.959282,0.6029532,Ras protein specific guanine nucleotide releasing factor 1
PRL,A_32_P65616,1.76E-01,9.08E-02,1.710656,-4.959381,0.5708898,prolactin
,A_24_P277511,1.76E-01,9.08E-02,1.710609,-4.959458,0.8538933,
ZBTB20-AS1,A_24_P728215,1.76E-01,9.08E-02,1.710594,-4.959481,0.6618525,ZBTB20 antisense RNA 1
NDUFA9,A_24_P361006,1.76E-01,9.09E-02,1.710478,-4.95967,0.7394775,NADH:ubiquinone oxidoreductase subunit A9
LOC100286906,A_32_P49124,1.76E-01,9.09E-02,1.710375,-4.959838,0.6370397,uncharacterized LOC100286906
,A_24_P921832,1.76E-01,9.09E-02,1.710307,-4.959948,0.6480938,
,A_32_P131159,1.76E-01,9.09E-02,-1.710305,-4.959951,-0.7501583,
LINC00654,A_32_P174156,1.76E-01,9.09E-02,1.710225,-4.96008,0.7925976,long intergenic non-protein coding RNA 654
OR8U1,A_23_P24676,1.76E-01,9.09E-02,1.71013,-4.960234,0.8195097,olfactory receptor family 8 subfamily U member 1
LINC00266-1,A_23_P355776,1.76E-01,9.09E-02,1.710015,-4.960422,0.7046763,long intergenic non-protein coding RNA 266-1
CDK15,A_23_P154050,1.76E-01,9.10E-02,1.709947,-4.960532,0.5417365,cyclin dependent kinase 15
RAB7B,A_23_P61590,1.76E-01,9.10E-02,1.709885,-4.960633,1.0301801,"RAB7B, member RAS oncogene family"
ZNF492,A_32_P194004,1.76E-01,9.10E-02,1.709863,-4.960669,0.44602,zinc finger protein 492
SLC25A19,A_23_P55045,1.76E-01,9.10E-02,1.709856,-4.96068,0.699713,solute carrier family 25 member 19
,A_32_P112100,1.76E-01,9.10E-02,-1.709778,-4.960807,-0.5032677,
KIR3DX1,A_23_P398943,1.76E-01,9.10E-02,1.709725,-4.960892,0.6969568,"killer cell immunoglobulin like receptor, three Ig domains X1"
SERPINB6,A_23_P70355,1.76E-01,9.10E-02,1.70967,-4.960981,0.9404594,serpin family B member 6
,A_24_P915443,1.76E-01,9.10E-02,1.709668,-4.960985,0.6420136,
SIGLEC5,A_24_P48539,1.76E-01,9.10E-02,1.709638,-4.961033,0.5770621,sialic acid binding Ig like lectin 5
,A_23_P390209,1.76E-01,9.10E-02,1.709602,-4.961092,0.981044,
SMARCD1,A_23_P204745,1.76E-01,9.10E-02,1.709436,-4.961361,0.7671393,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"
BVES,A_23_P502783,1.77E-01,9.11E-02,1.709316,-4.961556,0.5639861,blood vessel epicardial substance
ALKBH1,A_23_P14543,1.77E-01,9.11E-02,1.709178,-4.96178,0.7708396,"alkB homolog 1, histone H2A dioxygenase"
LOC101926935,A_23_P6150,1.77E-01,9.11E-02,1.709158,-4.961813,0.6419119,uncharacterized LOC101926935
DCT,A_24_P68381,1.77E-01,9.11E-02,1.709155,-4.961817,0.6795645,dopachrome tautomerase
,A_24_P873291,1.77E-01,9.11E-02,1.709117,-4.961878,0.5593191,
ZNF564,A_23_P55880,1.77E-01,9.11E-02,1.709104,-4.961899,0.6704826,zinc finger protein 564
DTNA,A_23_P394809,1.77E-01,9.11E-02,1.708961,-4.962131,0.9009487,dystrobrevin alpha
,A_24_P118531,1.77E-01,9.11E-02,1.708958,-4.962136,0.728735,
PDGFRL,A_23_P60146,1.77E-01,9.11E-02,-1.708954,-4.962144,-1.1762291,platelet derived growth factor receptor like
PIGT,A_24_P944848,1.77E-01,9.11E-02,1.708918,-4.962202,0.5514651,phosphatidylinositol glycan anchor biosynthesis class T
,A_23_P32821,1.77E-01,9.12E-02,1.708797,-4.962398,0.5564608,
EGFR,A_23_P215790,1.77E-01,9.12E-02,1.708784,-4.962419,0.7072171,epidermal growth factor receptor
SOCS7,A_24_P367211,1.77E-01,9.12E-02,1.708711,-4.962537,0.6752401,suppressor of cytokine signaling 7
TRIM17,A_23_P422667,1.77E-01,9.12E-02,1.708664,-4.962614,0.7943435,tripartite motif containing 17
HTR5A,A_23_P42565,1.77E-01,9.12E-02,1.708622,-4.962681,0.5560412,5-hydroxytryptamine receptor 5A
ELL,A_23_P16538,1.77E-01,9.12E-02,1.708569,-4.962767,0.4965956,elongation factor for RNA polymerase II
TMEM71,A_23_P321354,1.77E-01,9.12E-02,1.708484,-4.962905,1.6605365,transmembrane protein 71
,A_32_P186832,1.77E-01,9.12E-02,1.70845,-4.962961,0.5802734,
COMMD4,A_24_P331904,1.77E-01,9.12E-02,1.708384,-4.963068,0.5560338,COMM domain containing 4
,A_32_P43911,1.77E-01,9.13E-02,-1.70827,-4.963252,-0.5531964,
,A_24_P101455,1.77E-01,9.13E-02,1.708227,-4.963321,0.8303689,
RPL13P5,A_23_P48080,1.77E-01,9.13E-02,1.708106,-4.963519,0.7170802,ribosomal protein L13 pseudogene 5
,A_24_P899020,1.77E-01,9.13E-02,-1.708042,-4.963621,-1.00522,
KRT38,A_23_P100991,1.77E-01,9.13E-02,1.708019,-4.963659,0.6002826,keratin 38
ZNF425,A_24_P941166,1.77E-01,9.13E-02,1.707921,-4.963818,0.9139479,zinc finger protein 425
FHAD1,A_23_P334447,1.77E-01,9.13E-02,1.707917,-4.963824,0.7467383,forkhead associated phosphopeptide binding domain 1
,A_24_P827794,1.77E-01,9.13E-02,1.707834,-4.963959,0.693344,
,A_24_P485271,1.77E-01,9.14E-02,1.707806,-4.964005,0.6241334,
VPS25,A_23_P66599,1.77E-01,9.14E-02,1.707729,-4.964129,0.6438136,vacuolar protein sorting 25 homolog
EXTL3,A_23_P384405,1.77E-01,9.14E-02,1.707685,-4.9642,0.6184357,exostosin like glycosyltransferase 3
GPR22,A_23_P20172,1.77E-01,9.14E-02,1.707604,-4.964332,0.6158585,G protein-coupled receptor 22
,A_32_P214689,1.77E-01,9.14E-02,1.707537,-4.96444,0.6389239,
LRFN3,A_23_P50775,1.77E-01,9.14E-02,1.707531,-4.964451,0.608474,leucine rich repeat and fibronectin type III domain containing 3
,A_32_P158253,1.77E-01,9.14E-02,1.707479,-4.964534,0.5072991,
GIMAP4,A_24_P209455,1.77E-01,9.14E-02,1.707455,-4.964573,0.8723093,"GTPase, IMAP family member 4"
,A_32_P203066,1.77E-01,9.14E-02,1.707414,-4.96464,0.5668888,
UBE2R2,A_32_P169003,1.77E-01,9.14E-02,1.707403,-4.964657,0.725219,ubiquitin conjugating enzyme E2 R2
,A_24_P921957,1.77E-01,9.14E-02,1.707393,-4.964674,0.6880326,
RASD2,A_23_P143673,1.77E-01,9.14E-02,-1.707374,-4.964704,-0.6855889,RASD family member 2
APOL4,A_23_P380857,1.77E-01,9.14E-02,1.707346,-4.96475,0.9149943,apolipoprotein L4
SLC24A2,A_32_P154941,1.77E-01,9.14E-02,1.707292,-4.964837,0.9763118,solute carrier family 24 member 2
,A_23_P2524,1.77E-01,9.15E-02,1.707262,-4.964886,0.7633292,
,A_24_P926272,1.77E-01,9.15E-02,1.70711,-4.965133,0.5883468,
C6orf10,A_23_P136734,1.77E-01,9.15E-02,1.707085,-4.965172,0.547554,chromosome 6 open reading frame 10
,A_24_P153035,1.77E-01,9.15E-02,1.707083,-4.965177,0.755291,
EPM2A,A_24_P239419,1.77E-01,9.15E-02,1.707017,-4.965282,0.5667037,"epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)"
,A_32_P151570,1.77E-01,9.15E-02,1.706897,-4.965477,0.8146685,
